"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"977631";"2";"Memel";"Alloa";"Favn";"3 1/2";"Lægter";"Skilling";"11";"";"";"";"";"";"";""
"977631";"3";"Memel";"Alloa";"-";"2";"Spirer";"Skilling";"16";"";"";"";"";"";"";""
"977642";"1";"Konigsberg";"Hull";"Læster";"69 1/2";"Hørfrøe";"Daler";"52";"Skilling";"6";"";"";"";"";""
"977644";"1";"Hull";"Memel";"-";"337";"Bielker";"Daler";"10 1/2";"Skilling";"2";"";"";"";"";""
"977644";"2";"Hull";"Memel";"-";"240";"Dehler";"Daler";"3";"";"";"";"";"";"";""
"977644";"3";"Hull";"Memel";"Favne";"8";"Lægter";"Daler";"1/2";"";"";"";"";"";"";""
"977644";"4";"Hull";"Memel";"Skok";"20";"Staver";"Skilling";"15";"";"";"";"";"";"";""
"977662";"1";"Memel";"Dysard";"-";"376";"Bielker";"Daler";"11 1/2";"Skilling";"12";"";"";"";"";""
"977662";"2";"Memel";"Dysard";"Favne";"5";"Lægter";"Skilling";"15";"";"";"";"";"";"";""
"977662";"3";"Memel";"Dysard";"-";"208";"Dehler";"Daler";"2 1/2";"Skilling";"5";"";"";"";"";""
"977670";"1";"Memel";"Montrose";"-";"362";"Bielker";"Daler";"11";"Skilling";"15";"";"";"";"";""
"977670";"2";"Memel";"Montrose";"Favne";"8";"Lægter";"Daler";"1/2";"";"";"";"";"";"";""
"977670";"3";"Memel";"Montrose";"Skok";"6";"Staver";"Skilling";"5";"";"";"";"";"";"";""
"977670";"4";"Memel";"Montrose";"-";"271";"Dehler";"Daler";"3";"Skilling";"19";"";"";"";"";""
"977683";"1";"Memel";"Maryport";"-";"450";"Bielker";"Daler";"14";"Skilling";"3";"";"";"";"";""
"977683";"2";"Memel";"Maryport";"Skok";"1";"Staver";"Skilling";"1";"";"";"";"";"";"";""
"977683";"3";"Memel";"Maryport";"-";"1";"Holt";"Skilling";"1";"";"";"";"";"";"";""
"977683";"4";"Memel";"Maryport";"Favne";"8";"Lægter";"Daler";"1/2";"";"";"";"";"";"";""
"977683";"5";"Memel";"Maryport";"-";"308";"Pr. Dehler";"Daler";"3 1/2";"Skilling";"17";"";"";"";"";""
"977685";"1";"Konigsberg";"Hull";"Læster";"30";"Hørfrøe";"Daler";"22 1/2";"";"";"";"";"";"";""
"977691";"1";"Rostock";"Newcastle";"Læster";"48";"Rug";"Daler";"28 1/2";"Skilling";"15";"";"";"Læster";"57 3/5";"Rug giør 57 3/5 Læster"
"977691";"2";"Rostock";"Newcastle";"Læster";"1/4";"Malt";"Skilling";"6";"";"";"";"";"Læster";"57 3/10";"Malt giør 57 3/10 Læster"
"977699";"1";"London";"Østersøen";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"977702";"1";"Wyborg";"Lynn";"Skok";"45";"Plancker";"Daler";"4";"";"";"";"";"";"";""
"977702";"2";"Wyborg";"Lynn";"Skok";"38 1/2";"Skudplancker";"Daler";"19";"Skilling";"12";"";"";"";"";""
"977702";"3";"Wyborg";"Lynn";"Stk.";"10740 1/2";"Ord. dehler";"Daler";"8";"Skilling";"3";"";"";"";"";""
